"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 17 10:13:28 UYT 2021","Wed Nov 17 10:13:28 UYT 2021","23","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","Then I see my premium quote remains the same","Then I see my premium quote remains the same",""
"passed","Wed Nov 17 10:12:59 UYT 2021","Wed Nov 17 10:13:28 UYT 2021","29321","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","And I select 100 dollars in non rated rewards and close the modal","And I select 100 dollars in non rated rewards and close the modal",""
"passed","Wed Nov 17 10:13:10 UYT 2021","Wed Nov 17 10:13:12 UYT 2021","2005","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","And I navigate to the info screen","And I navigate to the info screen",""
"passed","Wed Nov 17 10:13:52 UYT 2021","Wed Nov 17 10:13:52 UYT 2021","1","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","",""
"passed","Wed Nov 17 10:12:36 UYT 2021","Wed Nov 17 10:12:59 UYT 2021","22876","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","And I enter a green path address","And I enter a green path address",""
"passed","Wed Nov 17 10:13:28 UYT 2021","Wed Nov 17 10:13:28 UYT 2021","318","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","When I select the following rewards","When I select the following rewards",""
"passed","Wed Nov 17 10:13:37 UYT 2021","Wed Nov 17 10:13:52 UYT 2021","15534","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","Then I see the following elements in the success screen","Then I see the following elements in the success screen",""
"passed","Wed Nov 17 10:13:29 UYT 2021","Wed Nov 17 10:13:37 UYT 2021","7437","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","When I complete the checkout process for a mortgagee","When I complete the checkout process for a mortgagee",""
"passed","Wed Nov 17 10:12:36 UYT 2021","Wed Nov 17 10:12:59 UYT 2021","22461","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","And I enter a green path address","And I enter a green path address",""
"passed","Wed Nov 17 10:13:13 UYT 2021","Wed Nov 17 10:13:29 UYT 2021","15803","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","And I enter a complete primary mortgagee and continue","And I enter a complete primary mortgagee and continue",""
"passed","Wed Nov 17 10:13:28 UYT 2021","Wed Nov 17 10:13:28 UYT 2021","0","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","",""
"passed","Wed Nov 17 10:13:12 UYT 2021","Wed Nov 17 10:13:13 UYT 2021","1660","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","And I enter a complete primary insured","And I enter a complete primary insured",""
"passed","Wed Nov 17 10:12:33 UYT 2021","Wed Nov 17 10:12:36 UYT 2021","2666","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","","Rewards tests: As a user, If I exceed the non-rated rewards amount, the rewards I select don't affect the pemium","Given I am on the home page","Given I am on the home page",""
"passed","Wed Nov 17 10:12:33 UYT 2021","Wed Nov 17 10:12:36 UYT 2021","2880","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","Given I am on the home page","Given I am on the home page",""
"passed","Wed Nov 17 10:12:59 UYT 2021","Wed Nov 17 10:13:10 UYT 2021","10563","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","","Home Page Tests: As a user, I can purchase a mortgagee billed policy","And I navigate to the coverage screen","And I navigate to the coverage screen",""
